en,cht,pos,description
Thais,泰伊斯,神使,凱登·凱利恩的神使
The Menotherian,梅諾斯里安,神使,卡莉絲翠的神使
Sunlord Thalachos,陽主塔拉克斯,神使,塞恩蕾的神使
Massacre House,屠殺屋,地點,西冠城
The Devildrome,魔鬼鬥場,地點,西冠城
The Wave Door,水波門,地點,西冠城
Cutlass Cove,水手刀灣,地點,西冠城
Wart Rock,疣石,地點,西冠城
Entombed with the Pharaohs,《與法老合葬》,書名,模組
Mr. Straw,稻草先生,人物,AP#27
Fluff Gugg,毛絨古革,人物,AP#27
Molly Missy,莫莉小姐,人物,AP#27
Draggy,拖拖,人物,AP#27
The Skinsaw Murders,《鋸皮謀殺案》,書名,AP#2
Aiger Ghaelfin,艾格·蓋爾芬,人物,冒險隊長
Amber Privateers,琥珀私掠者,隊伍,探索者小隊
Rivers of No Return,無歸之河,地點,拉哈多姆
Aohl,奧荷,物品,芒吉傳說中的符石
Morrowfall,曉墜,物品,
Totemrix,厄首,物品,
Khazrae Kuelata,卡茲蕾‧奎拉塔,,
Grave candle,墓燭,物品,
Coriana Heavenscape,柯莉安娜·天景,,
Sisters of Eiseth,埃賽絲姐妹會,組織,同Sisterhood of Eiseth
Eiseth,埃賽絲,神祇,欲魔女王
Sisterhood of Eiseth,埃賽絲姐妹會,組織,同Sisters of Eiseth
Loremaster Liriam,博學士莉麗安,人物,AP#27
Commandra Voxlay,康曼卓拉·沃克斯雷,人物,AP#27
Rance Lucca,蘭斯·盧卡,,
blood bookie,血莊家,職業,切利亞斯血腥競技的賭盤莊家
Mantrithor Thrax,曼特里索·特拉克斯,人物,AP#27
Voidfrost Robe,虛空冰霜法袍,物品,UE
Spellguard Bracers,護法護腕,物品,UE
Bookplate of Recall,召回書籤,物品,UE
Gloves of Elvenkind,精靈手套,物品,UE
Bladed Scarf,鋸刃巾,物品,ISWG
Cugney’s Wedding,《庫尼的婚禮》,物品,AP#27
Young Creature,幼體生物,模版,怪物模版
Amber Arca,琥珀祕庫,地點,探究避難所
manifest,顯現,術語,作祟數據用的術語
Bay,吠叫,能力,怪物能力
Jair,賈爾,人物,AP#27
Mazeflesh Man,迷肉者,人物,AP#27
Vahnwynne Malkistra,梵妮·馬爾基斯特拉,人物,AP#27
Adivian Walk,阿迪汶步道,地點,西冠城
Isolation Sphere,隔絕球,險境,陷阱
the library of inducted experience,經驗植入圖書館,地點,探究避難所
War of Broken Truces,毀約之戰,事件,
Moenspire,莫恩尖塔,地點,
Ever-Advancing Legion,永進軍團,組織,矮人尋天軍團
Commander Helmrunner,赫爾姆魯納指揮官,人物,永進軍團的指揮
truecolor dye,真彩染料,物品,AP#27
Miracle Samurai,奇蹟武士,,
Nautalica,鸚鵡螺廳,地點,探究避難所
Obscuring Energy,模糊能量,能力,怪物能力
Searing Darkness,灼熱暗影,能力,怪物能力
Ornato Geryis,奧納托·格里吉斯,人物,AP#27
Zoan “Vintage” Tyspar,「老酒」佐安·泰斯帕,人物,AP#27
Wayfinder,尋路儀,物品,
haunted object,作祟物體,術語,作祟
receptacle,共振槽,術語,尋路儀插艾恩石的插槽
secret door,暗門,術語,需要察覺檢定發現的隱藏門
invisible in light,隱於光中,能力,怪物能力
children of the night,夜之子嗣,能力,怪物能力
Holy symbol ,聖徽,物品,CRB
Unholy symbol,邪徽,物品,UE
Holy text,聖典,物品,CRB
Speed Sheath,快速腕鞘,物品,UW
Waist pouch,挎包,物品,UW
Wooden stake,木樁,物品,UE
Count Andachi,安達契伯爵,人物,烏斯塔拉夫
Shadowcount Thenris Ⅳ,影伯爵塞恩瑞斯四世,人物,奈多
Resurrection Vulnerability,復活易傷,能力,怪物能力
Pharaoh of Nagas,娜迦法老,人物,奧斯利昂
Easivra,伊西薇拉,神祇,
Pathfinder Expedition,探索者的探險活動,,
Olos Purstwain,奧洛斯·普斯特溫,人物,探索者
Urgelmir Jholhost,烏爾蓋爾米爾·喬爾霍斯特,人物,探索者
Red Zarroka,萊德·扎羅卡,人物,探索者
Dr. Vhelnas Lowll,維爾納斯·洛爾博士,人物,探索者
Charlla Gracekin,夏拉·格雷斯金,人物,探索者
Joadric Heimurl,喬德里克·海姆爾,人物,探索者
Quaimol the Blache,「白人」奎摩爾,人物,探索者
Bhoston Jola Rould,波斯頓·喬拉·羅爾德,人物,探索者
Innobar DiGomphrey,因諾巴·迪戈姆弗瑞,人物,探索者
Adellos Mayne,阿德洛斯·梅恩,人物,探索者
Phastomal,法斯托瑪爾,人物,探索者
Lord Vollod Kilmorry,沃洛德·基爾莫里勳爵,人物,探索者
Urom Bannahirrim,烏羅姆·班納希里姆,人物,探索者
Arbro Brayd,阿布羅·布雷德,人物,探索者
Alican Brayd,艾麗坎·布雷德,人物,探索者
Mirima Marshaid,米麗瑪·馬沙德,人物,探索者
Xasandro,薩桑德羅,人物,探索者
Jojosh,喬喬什,人物,探索者
Erran Domvil,艾蘭·多姆維爾,人物,探索者
Mrinmayee Vishvali,莫妮拉耶·維沙利,人物,探索者
Irdris Quardama,伊爾德里斯·夸達瑪,人物,探索者
Zahthal Halvaas,扎斯索爾·哈爾瓦斯,人物,探索者
The Astralabe,星盤,,
The Beacon of the North,北方信標,,
The Tigress’s Strand,虎女之絞索,,
Blue Yaje,藍雅赫,,
The Saffron House,橙黃之屋,,
Lirgen’s White Chest,利爾剛的白箱子,,
The Gluttonous Tome,饕餮之書,,
The Lost City of Ird,伊爾德失落之城,,
The Mute Metropolis,噤聲都會,,
The Draddeth Edge,德拉德邊緣,,
Mistcaller,喚霧者,,
Astabhan’s Egg,阿斯塔班之卵,,
Sky Key,天空之鑰,,
Lady Ninahu’s Doll,尼娜胡夫人的玩偶,,
The Ruby Skull of Chast,查斯特的紅寶石顱骨,,
Mishan’s Melodious Feather,米申的悅耳羽毛,,
The Ghatigahani Folio,加提伽哈尼對開本,,
Sinashakti’s Ribbon,辛納沙克提彩帶,,
The Ghoul Stone,食屍鬼之石,,
The Praenomen,普萊諾門護符,,
Bones of Founder Raccona,締造者拉科娜之骨,物品,
Jilvinina Holos,吉爾維妮娜·霍洛斯,人物,探索者
inch,吋,,
Clasp of the Mind Scream,心靈尖嘯扣飾,物品,
Laubaun Aumeraro,勞鮑恩·奧梅拉羅,人物,探索者
Entwined Syrinx,交纏排簫,物品,
Skrelyn Leisson,斯克里林·萊森,人物,音樂家
Miria Sies Tays,米里亞·西斯·泰斯,人物,探索者
Felhart,費爾哈特,,
Construction,製造,術語,魔法物品數據中的術語
Golden Dragon Kite,黃金龍風箏,物品,AP#27
Hand of Abendego,阿班達哥之手,物品,AP#27
Calimor Dorijonna,卡利莫·多里喬納,人物,探索者
Jascon Iptmarsh,賈斯康·伊普特瑪什,人物,探索者
Dream Journal of the Pallid Seer,蒼白先知的夢境之書,物品,AP#27
Kybwa’ka War Mask,基布瓦卡戰爭面具,物品,AP#27
Tirakici,蒂拉基希,組織,芒吉部落
Kybwa’ka,基布瓦卡,組織,芒吉部落
Ameran “Chis’chay” Alararson,阿梅蘭「齊斯柴」阿拉拉森,人物,探索者
Osirian Spirit Jars,奧斯利昂靈魂罐  ,物品,AP#27
Skin of Klendar the troll King,「巨魔王」克倫達之皮,物品,AP#27
Hide,革甲,物品,CRB
Leather,皮甲,物品,CRB
Talisman of the Orc Mother’s Fury,獸人母親之怒神符,物品,AP#27
Katalein Branchard,卡塔萊因·布蘭查德,人物,探索者
Robinsa Losis,羅賓莎·洛西斯,人物,探索者
Vudran Ashak Helmet,烏荼羅阿夏克頭盔,物品,
Citadel Gheradesca,格拉德斯卡堡,地點,鎖鏈騎士團
Regan Vashan,雷根·瓦沙恩,人物,神爪騎士團
Acillmar,阿希爾瑪,人物,尖釘騎士團
Maidrayne Vox,瑪德雷恩·沃克斯,人物,尖釘騎士團
Tros Garvhost,特羅斯·加爾霍斯特,人物,焚燒騎士團
Kassir Voidai,卡西爾·沃伊代,人物,刑架騎士團
Uldrannas Haelcant,烏爾德蘭納斯·海爾坎特,人物,刑鞭騎士團
Orlayn Khorelos,奧爾蘭·科雷洛斯,人物,刑鞭騎士團
Aspect of the Beast,猛獸之貌,專長,APG
Order of the Coil,盤蛇騎士團,組織,次要地獄騎士團
Order of the Torrent,洪流騎士團,組織,次要地獄騎士團
The Ennead Star,九重星,物品,地獄騎士團紋章
Force of Will,意志之力,能力,
Mercilessness,無情,能力,
Lawbringer,秩序使者,能力,
smite chaos,制裁混亂,能力,
Discipline,戒律,能力,
Eel Street ,鰻魚街,地點,艾格利安
Crasus,克拉蘇斯,人物,地獄卒
Darruck,達拉克,人物,地獄卒
Anca,安卡,人物,地獄卒
Tall Tail,翹尾,地點,艾格利安
Velvet,薇爾薇特,人物,地獄卒
Scions Academy,胄嗣學府,地點,艾格利安
Chennipon,陳尼蓬,地點,烏荼羅
Night Weaver King,織夜王,稱號,
Xarian’s Way,夏利恩小道,地點,西冠城
Founder’s Rest,締造者之棲,地點,西冠城
Vancent Lomarn,凡森特·洛馬恩,人物,西冠城
Vomer’s Shallows,沃默爾淺灘,地點,西冠城
Sosara Josain,索薩拉·喬塞恩,人物,西冠城
giant leech,巨水蛭,怪物,B1
centipede swarm,蜈蚣集群,怪物,B1
shocker lizard,閃電蜥蜴,怪物,B1
basilisk,石化蜥蜴,怪物,B1
bat swarm,蝙蝠集群,怪物,B1
gray ooze,灰泥怪,怪物,B1
leech swarm,水蛭集群,怪物,B1
yellow musk creeper,黃麝香匍匐者,怪物,B1
crab swarm,螃蟹集群,怪物,B1
basidirond,孢子花,怪物,B1
Chuul,甲伏怪,怪物,B1
Aspidochelone,蛇龜,怪物,AP#27
"Devil, Chortov",怨魂魔,怪物,AP#27
Awesome Blow,可怖毆擊,專長,B1
"Idol, Bone",骨偶像,怪物,AP#27
"Idol, Jade",玉偶像,怪物,AP#27
"Idol, Stone",石偶像,怪物,AP#27
"Idol, Wood",木偶像,怪物,AP#27
Inanimate,無生機,能力,怪物能力
feverish fortitude,狂熱堅韌,能力,怪物能力
Craft Construct,製造構裝體,專長,B1
Lar,家靈,怪物,AP#27
lararium,靈龕,,
Rules of the House,房規,術語,
Game Master,遊戲主持人,術語,
GM,GM,術語,
Pathfinder Roleplaying Game,探索者角色扮演遊戲,術語,PF規則全稱
session,團,術語,一次跑團活動
Campaign Arc,戰役故事線,術語,
Metagaming,超遊,術語,
cohort,部署,術語,領導力專長
The Hook Mountain Massacre,《鉤山大屠殺》,冒險之路,AP#3
Rise of the Runelords,《魔印王的崛起》,冒險之路,
Elsid,艾爾希德,角色,GMG
Karnak,卡納克,角色,GMG
Elena,艾蓮娜,角色,GMG
Marbury,馬布里,角色,GMG
Elsid,艾爾希德,角色,GMG
Sevashti,瑟瓦什蒂,角色,GMG
Jamek,賈梅克,角色,GMG
groups of players,玩家隊伍,術語,等於party
Naturalist,博聞廣識,職業能力,吟遊詩人變體能力
Jalki,賈爾基,人物,AP#28
Aberten “The Dealer” Vittershins,「莊家」阿伯滕·維特辛斯,人物,AP#28
Avahzi Serafian,阿瓦茲·塞拉菲安,人物,AP#28
Jerusen,傑魯森,人物,AP#28
Stygian Keyrod,斯狄吉亞鑰匙棒,物品,AP#28
Veladness,維拉德尼斯,人物,AP#28
"Inevitable, Kolyarut",協約者,怪物,B2
the Scriptures of Adamantine,精金经,,
Stygian Cooling Chamber,斯狄吉亞冷卻室,,
vampire spawn,吸血鬼衍體,怪物,B1
Master of Midnight,午夜之主,稱號,
Isavenda,伊薩文達,人物,AP#28
GameMastery Combat Pad,《GM戰鬥面板》,,
Ad Hoc Experience Award,特別經驗獎勵,術語,
devil talisman,魔鬼神符,物品,AP#28
Lozendi,洛贊迪,人物,AP#28
House Arkona,阿科納家族,組織,科瓦薩
Rakshasa-spawned,羅剎種,術語,魔裔亞種
Devil-spawn,魔鬼種,術語,魔裔亞種
Asura-Spawn,阿修羅種,術語,魔裔亞種
Daemon-Spawn,邪魔種,術語,魔裔亞種
Demodand-Spawn,魔孽種,術語,魔裔亞種
Demon-Spawn,惡魔種,術語,魔裔亞種
Div-Spawn,妖靈種,術語,魔裔亞種
Kyton-Spawn,鏈魔種,術語,魔裔亞種
Oni-Spawn,惡鬼種,術語,魔裔亞種
Qlippoth-Spawn,古魔種,術語,魔裔亞種
Jezeletrix,耶澤萊翠克斯,人物,AP#28
baleful gaze,惡意凝視,能力,怪物能力
Book of the Damned,《永罪之書》,書名,BotD
Bravery,英勇,職業能力,戰士職業能力
Joriavah,喬莉亞瓦,人物,AP#28
Lich Shade,巫妖陰魂,怪物,第三方
Beyond the Vault of Souls,超越魂之聖所,書名,模組
Eldritch Bolt,奧法箭,能力,怪物能力
Advanced Creature,增強生物,模版,B1
Celestial Creature,天界生物,模版,B1
Fiendish Creature,魔化生物,模版,B1
Giant Creature,巨化生物,模版,B1
Handout,手稿,術語,GMG
Apurva Arkona,阿普爾瓦·阿科納,人物,AP#28
Signatory Vaccha,簽約者瓦卡,人物,AP#28
Iron Citadel,鐵城堡,地點,阿弗納斯
Source,出處,術語,記載於哪一本書籍
surface thought,表層思想,術語,偵測思想類法術的術語
Path of Grace,恩典之路,組織,製造了白疫
Lileia Ruel,莉莉亞·魯埃爾,人物,
Aligois Thels,阿利豪斯·蒂爾,人物,地獄騎士團
Admiral Glettz,格萊茲提督,人物,切利亞斯
House Serterrian,塞特里安家族,組織,切利亞斯前貴族
Battle of Shatter Hull,碎艦之戰,事件,切利亞斯內戰
Order of the High Crown,高冠騎士團,組織,
Lictor Ardaot,執棒官阿爾道特,人物,刑鞭騎士團
Lictor Ihonudayn,執棒官伊霍努丹,人物,焚燒騎士團
Dospera Massacre,多斯佩拉大屠殺,事件,切利亞斯內戰
Lictor Jaisade,執棒官賈伊薩德,人物,刑鞭騎士團
Dairus Blansmier,戴瑞斯·布蘭斯米爾,人物,探索者
Venicaan College of Medicaments and Chiurgery,維妮肯藥物手術學院,地點,卡希爾
Chul al’Khawaht,朱爾·阿卡瓦特,人物,卡蒂亞
Baidair Sarini,拜戴爾·薩林尼,人物,切利亞斯
Orneian Reach,奧爾尼恩灘,地點,柯倫汀
undoctrination halls,思想解放廳,地點,喀雷恩堡
Godless Gallery,無神畫廊,地點,喀雷恩堡
Duskmoor Tower,暮隱塔,地點,瑞渥達堡
Citadel Darvhage,達瓦奇堡,地點,
Sargavan Plaza,薩迦瓦廣場,地點,艾格利安
Pandarus the Pleaser,「討人喜歡的」潘達羅斯,人物,地獄卒
Spartoi,龍牙骸衛,怪物,AP#28
"Asura, Adhukait",雙生修羅,怪物,B3
Caiiac,凱亞克,怪物,雙生修羅
Kaisadvaisad,凱薩德瓦薩德,怪物,雙生修羅
Titan’s Mind,泰坦之心,,
Shei Five Dawns,謝伊·五黎,,
Holika,霍莉卡,怪物,阿修羅魔尊
Vritra,弗里特拉,怪物,阿修羅魔尊
spartoi seeds,龍牙骸衛之種,物品,AP#28
Kathalphas,卡薩爾法,怪物,神話中的龍
varies,多種,術語,魔法物品的術語
Gregaro Voth,格雷加羅·沃什,人物,探索者
Lookout,警戒,專長,APG
Honor,榮譽子域,術語,牧師領域
Honor Subdomain,榮譽子域,術語,牧師領域
Saddlebags,鞍囊,物品,UE
Dandy brush,馬用硬毛刷,物品,AA
Hefty Brute,龐然巨獸,專長,WO
Multidisciplined,博學兼修,能力,半精靈種族特性 HA
Chivalry Inquisition,俠義裁決域,能力,MM
Magical Marketplace,《魔法市集》,書名,MM
Aura of Menace,威脅靈光,能力,亞空神使的能力
Devoted Guardian,忠貞衛士,能力,武僧變體能力
The Maggot Tree,腐蛆樹,地點,鬼婆樹林
Hagwood,鬼婆樹林,地點,切利亞斯
The Bloody Tarn,血色潭,地點,鬼婆樹林
Trollclaw Cleft,巨魔爪裂隙,地點,鬼婆樹林
Legacy of Fire,《烈焰遺產》,書名,冒險之路
Eando,艾安多,人物,
Channa Ti,伊錢娜·蒂,人物,
Jarvis Alebrecht,賈維斯·阿爾布雷希特,人物,AP#29
Goren One-Ear,「獨耳」戈倫,人物,AP#29
Maglin,瑪格林,人物,AP#29
Kruthe the Hammer,「錘子」克魯特,人物,AP#29
Quieting Needle,寂靜之針,物品,
Dog’s tongue,狗舌頭,人物,AP#29
Redcap,紅帽子,怪物,B2
"Dark Markets, A Guide to Katapesh",《黑市——卡塔佩什指南》,書名,設定集
Crypt,地下墓室,術語,房間類型；UCa
Burial Ground,墓地,術語,房間類型；UCa
Common Room,公共空間,術語,房間類型；UCa
Ballroom,舞廳,術語,房間類型；UCa
Ceremonial Room,儀式間,術語,房間類型；UCa
Throne Room,謁見廰,術語,房間類型；UCa
Forge,鍛造場,術語,房間類型；UCa
Magical Repository,魔法書庫,術語,房間類型；UCa
Book Repository,書庫,術語,房間類型；UCa
Kitchen,廚房,術語,房間類型；UCa
Storage,儲藏室,術語,房間類型；UCa
False Front,幌子,術語,房間類型；UCa
Shack,棚屋,術語,房間類型；UCa
Office,辦公室,術語,房間類型；UCa
Vault,寶庫,術語,房間類型；UCa
Furnishings(Augmentation),器物陳設(加強),術語,房間類型；UCa
Lodging,宿舍,術語,房間類型；UCa
Bunks,通鋪,術語,房間類型；UCa
Altar,祭壇,術語,房間類型；UCa
Bed Room,臥室,術語,房間類型；UCa
Alchemy Lab,煉金實驗室,術語,房間類型；UCa
Torture Chamber,拷問室,術語,房間類型；UCa
Guards,守衛,術語,團隊；UCa
Archers,射手,術語,團隊；UCa
Acolyte,侍僧,術語,團隊；UCa
Priest,祭司,術語,團隊；UCa
Sage,賢者,術語,團隊；UCa
Soldiers,士兵,術語,團隊；UCa
Elite Archers,精英射手,術語,團隊；UCa
Cavalry Archers,騎射手,術語,團隊；UCa
Laborers,勞工,術語,團隊；UCa
Elite Soldiers,精英士兵,術語,團隊；UCa
Lackeys,僕役,術語,團隊；UCa
Drivers,車夫,術語,團隊；UCa
Any,任意,術語,怪物數據專用
Stiglor,斯蒂格洛,人物,AP#29
Gryph,腐卵鷲,怪物,B2
Riding dog,騎乘用犬,怪物,B1
Madjaw,瘋顎,人物,AP#29
Fmughwa,弗穆格瓦,人物,AP#29
Bombardier Beetle,爆彈甲蟲,怪物,B1
Wasp Swarm,黃蜂集群,怪物,B1
Spider Swarm,蜘蛛集群,怪物,B1
Honor Bound,榮譽羈絆,能力,
Rag Armor ,破爛護甲,能力,幽暗匍匐者的能力
Death Throes,死亡劇痛,能力,幽暗匍匐者的能力
Black Smear,黑污油,毒,B1
plague’s caress,疫病撫摸,能力,
Pestilence Bloodline,瘟疫血統,能力,
Accustomed to Awfulness,習噁為常,能力,
Shroud of Vermin,蟲群護罩,能力,
Pestilential Breath,瘟疫吐息,能力,
Plague Carrier ,瘟疫攜帶者,能力,
Sandor the Strange,「奇怪的」桑多爾,人物,AP#29
Ophal,奧法爾,人物,AP#29
Birthmark,胎記,背景,UCa
Fate’s Favored,天命眷顧,背景,UCa
Dangerously Curious,危險的好奇心,背景,UCa
Manus Undiomede,馬努斯·溫迪奧米德,人物,AP#29
Night Heralds,黑夜先驅者,組織,
Nihiloi,虛無之靈,怪物,AP#29
Silana,希拉娜,人物,AP#29
Ivory City of Kellketta,凱爾克塔的象牙城,地點,烏荼羅
Lord of Shadows,幽影領主,稱號,
create spawn,製造衍體,能力,吸血鬼能力
mastermind,主腦,能力,吸血鬼能力
Council of Visions,靈視議會,組織,拉茲密安
Council of Vision,遠見議會,組織,管理天堂
Thaumaturge,奇術師,,
Nightdrops,夜臨,物品,UE
Days of Wrath,怒火日,節日,切利亞斯
"Spellcasting Contract, Lesser",次等施法契約,,
Spellcasting Contract,施法契約,,
"Spellcasting Contract, Greater",高等施法契約,,
Dirian Chax,迪里安·查克斯,人物,阿斯莫迪爾斯
Jovano Canalito,喬瓦諾·卡納利托,人物,阿斯莫迪爾斯
Ludoviro Scarpo,盧多維羅·斯卡爾波,人物,阿斯莫迪爾斯
"Herald, Basileus",令使，巴西琉斯,怪物,魔鬼
Arro the Ashensun,「燼日」亞倫,怪物,魔鬼
Calamyar,卡拉米亞,怪物,魔鬼
Fristax,弗里斯塔斯,怪物,魔鬼
Liyamzam,利亞姆扎姆,怪物,魔鬼
Marago,瑪拉戈,怪物,魔鬼
Redomeus,雷多梅烏斯,怪物,魔鬼
Tursax,圖爾薩克斯,怪物,魔鬼
Vrs’vlt,弗斯維爾特,怪物,魔鬼
Infernal Compact,煉獄誓約,事件,切利亞斯
Hell coal,地獄煤,物品,
Verduran Avenue,維杜蘭大道,地點,艾格利安
"Demon, Incubus",夢魔,怪物,B3
The Triumph of Hell over Chaos,地獄戰勝混亂的凱旋,事件,
House Wintrish,溫崔許家族,組織,切利亞斯
House Krupt,克魯普特家族,組織,切利亞斯
Choker,鎖喉怪,怪物,B1
Vrykolakas,維克拉卡斯,怪物,AP#29
Suspend Animation,壓制活性,能力,怪物能力
Vineshvakhi,維內什瓦基,神祇,烏荼羅
"Devil, Possession",附身魔,怪物,同 吉迪姆(Gidim)
Ghorazagh,戈拉札格,怪物,B3
Orlvagras,奧爾瓦格拉斯,地點,奧烏
Charda,查爾達,怪物,幽暗之地
Potion Sponge,藥劑棉,物品,ARG
Book of war prayers,戰前禱詞集,物品,ACG
Whetstone,磨刀石,物品,UE
Grooming kit,清潔套組,物品,UE
Wiscrani Ear,西冠耳,背景,HotS
Magical Knack,魔法竅門,背景,UCa
Fey Thoughts,精怪思維,能力,種族替換能力
Sanctified Rings,聖化戒指,物品,AA
Smoked goggles,墨鏡,物品,UE
Unsanctioned Knowledge,禁斷知識,專長,UM
Pestilent Aura,瘟疫靈光,能力,怪物能力
Pathfinder’s Journal,探索者日誌,書名,AP中的短片小說系列
Pregenerated Character,預設角色,,
Preview,下集預告,,
Foreword,前言,,
Savage Tide,《野性狂潮》,書名,冒險之路
Adventure Summary,冒險概要,,
Festrog,犬化喪屍,怪物,B3
Spark Leap,電光躍步,能力,怪物能力
Cader Boneyard,卡德爾區墓地,地點,西冠城
Thesing’s Tower,迪辛的塔樓,地點,西冠城
Sunset Gate,日落門,地點,西冠城
Verennie’s Lair,維瑞妮的巢穴,地點,西冠城
Ghivel’s Townhouse,吉沃的別墅,地點,西冠城
Corna Barracks,科爾納兵營,地點,西冠城
Skarx’s Prison,斯卡克斯的監獄,地點,西冠城
Blacknape Hideout,黑巾幫藏身處,地點,西冠城
Slave Barge Dock,奴隸駁船碼頭,地點,西冠城
Rolan’s Shop,羅蘭的店鋪,地點,西冠城
Vira Ciucci,丘奇莊園,地點,西冠城
The Gargling Gargoyle,打嗝石像鬼,地點,西冠城
Finch Street,芬奇街,地點,西冠城
Guxer Ciucci,古克瑟·丘奇,人物,西冠城
Delilee Ciucci,德莉莉·丘奇,人物,西冠城
Doppelganger,變形怪,怪物,B1
Ganefini Mhartis,加內菲尼·哈蒂斯,人物,西冠城
Lonosete Mhartis,洛諾塞特·哈蒂斯,人物,西冠城
Lodros Mhartis,洛德羅斯·哈蒂斯,人物,西冠城
Recinni Mhartis,瑞西尼·哈蒂斯,人物,西冠城
Cervesi,塞爾維西,人物,AP#30
Zevanxus,澤瓦恩克斯,人物,AP#30
Cecelly Ciucci,塞塞莉·丘奇,人物,AP#30
Berlanda,貝蘭達,人物,AP#30
Hortan,霍爾坦,人物,AP#30
Amalee,阿瑪麗,人物,AP#30
Perfect Copy,完美複製,能力,怪物能力
Mimicry,模擬,能力,怪物能力
Quick Incubation,快速發病,能力,怪物能力
Ara Verennie,阿拉·維瑞妮,人物,AP#30
Cut Your Losses,撤退止損,專長,PSP
Jinkoo,金酷,人物,AP#30
Aritil Sevarn,阿瑞提爾·瑟瓦恩,人物,AP#30
Midpier,中碼頭,地點,西冠城
Melavengian,麥拉維吉安,人物,AP#30
Armon Rosala,阿蒙·羅莎拉,人物,AP#30
Deran Vesken,德蘭·維斯肯,人物,AP#30
Gull Street,海鷗街,地點,西冠城
The Words Behind the Mask,《假面下的聖言》,物品,諾格巴聖典
Clandestine,隱密,能力,裁決域
Redemption,贖罪,能力,裁決域
Pass for Human,判若真人,能力,魔裔種族替換
Soul Seer,觀魂者,能力,魔裔種族替換
City-Raised,市民,能力,半獸人種族替換
Tenacious,堅決,能力,半獸人種族替換
Beguiling Liar,迷人騙徒,能力,魔裔種族替換
Irimeian,伊里美安,人物,AP#30
skeletal champion,骷髏勇士,怪物,B1
Kalder Nymmis,卡爾德·尼米斯,人物,AP#30
Vuiper Ghivel,威佩爾·吉沃,人物,AP#30
Guided Eyes,神導雙目,能力,揭示子域能力
Belessima,貝蕾西瑪,人物,AP#30
bury zone,掩埋區,術語,CRB
slide zone,滑落區,術語,CRB
the Grasping One,攫取者,稱號,瑪門的稱號
Triune Star,三重星之戰,事件,
God in Silver,銀幣之神,稱號,瑪門的稱號
Twice-Fallen,雙重墮落者,稱號,瑪門的稱號
Argent Prince,白銀大君,稱號,瑪門的稱號
the Countless,無數者,稱號,瑪門的稱號
Crowngiver,授冕者,稱號,瑪門的稱號
the Lord of the Third,地獄第三層之主,稱號,瑪門的稱號
the Open Palm,虛握者,稱號,瑪門的稱號
Voice in Silver,白銀之聲,稱號,瑪門的稱號
Debt in Flesh,血肉債務,事件,瑪門的邪教儀式
the Widow Queen,寡婦女王,稱號,卡爾特薩·愛依絲
Lady Kaltessa Iyis,卡爾特薩·愛依絲,人物,瑪門的高階祭司
Rivois,里沃伊斯,人物,
Ginarl,金納爾,人物,
Vorosa,沃羅薩,人物,
Iron Rose,鐵玫瑰宮,地點,依斯嘉
Nightskin,夜裘,物品,AP#30
Fang of Erebus,厄瑞波斯之牙,物品,AP#30
Iron Cobra,鐵眼鏡蛇,怪物,B1
Darkmantle,夜幕魔獸,怪物,B1
Lightbreaker,破光者,物品,
Emperor Loduz,羅杜茲大帝,物品,
Scroll-corpses of Raisting,雷斯丁的卷軸屍骸,物品,
Stormsheart,風暴之心,物品,藍色龍珠
Genius Avaricious,貪婪之靈,法術,AP#30
Invested Magic,金錢魔力,專長,AP#30
Saffron Nymph,藏紅花寧芙號,,
Prince of Wolves,《狼王子》,書名,
Zincher’s Arena,辛澈競技場,地點,謎語港
Wharf District,碼頭區,地點,謎語港
Gas Forges,燃氣熔爐,地點,謎語港
Shorafa Pamodae,索拉法·帕莫蒂,人物,謎語港
Carbauxine,碳基胺,物品,幽暗之地可燃氣體
"Devil, Apostate",叛教魔,怪物,B5
"Behemoth, Ravener",掠食者比蒙巨獸,,
Snatch,抓取,專長,B1
Demolishing Attack,破壞攻擊,能力,怪物能力
Hover,盘旋,專長,B1
"Devil, Nemesis (Advodaza)",復仇魔,怪物,B4 阿德沃達札
Ebon Acolytus,黑檀侍祭,,
Thanatotic realms,暴亡領域,地點,深淵
Gigas,古巨人,怪物,
"Kyton, Ephialtes",緊縛魔,怪物,AP#30
Vouivre,龍蛇女,怪物,B4
Selkie,海豹人,怪物,B4
Unnerving Gaze,喪膽凝視,能力,怪物能力
Shadowstep,暗影步,法術,UM
Gate Breaker,破門者,專長,PotH
Relic Breaker,遺物破壞者,專長,PotH
Ally Shield,友軍為盾,專長,CoC
Blood for the Empire,為國捐軀,專長,AP#132
Glaive-guisarme,長鉤大砍刀,物品,UE
Black Alibi,漆黑詭證,物品,ISG
Gray Master’s Leather,灰色大師皮甲,物品,ISG
Stalking,圍捕,物品,ACG
Anticipate Thoughts,預讀思緒,法術,OA
Instant Weapon,瞬造武器,法術,MTT
Barbed Chains,刺魔鎖鏈,法術,HA
Interrogation,拷問,法術,UM
False Face,假面術,法術,HotHC
Shackle,鐐銬術,法術,AG
Clay Skin,陶膚術,法術,PaP
Raven’s Flight,飛鴉天翔,法術,HotW
Night of Blades,刃之夜,法術,ISG
Cunning Initiative,巧奪先機,能力,職業能力
Solo Tactics,獨行戰術,能力,職業能力
Redeemer’s Mercy,救贖者的憐憫,能力,裁決域能力
